police_beat,street_name,street_type,injured,killed,full_name,year
124,TORREY PINES,RD,1,0,TORREY PINES RD,2017
243,CAM SANTA FE,nan,4,0,CAM SANTA FE ,2017
451,54TH,ST,0,0,54TH ST,2017
932,TORREY PINES,RD,1,0,TORREY PINES RD,2017
325,MISSION GORGE,RD,1,0,MISSION GORGE RD,2017
326,COLLWOOD,BLVD,0,0,COLLWOOD BLVD,2017
623,HOTEL,CIR,0,0,HOTEL CIR,2017
124,TORREY PINES,RD,0,0,TORREY PINES RD,2017
122,I-5 SB,nan,1,0,I-5 SB ,2017
315,STATION VILLAGE,WAY,2,0,STATION VILLAGE WAY,2017
825,KENSINGTON,DR,0,0,KENSINGTON DR,2017
623,FRIARS,RD,0,0,FRIARS RD,2017
524,BROADWAY,nan,1,0,BROADWAY ,2017
111,MANITOU,WAY,0,0,MANITOU WAY,2017
431,EUCLID,AVE,1,0,EUCLID AVE,2017
838,WABASH,AVE,1,0,WABASH AVE,2017
934,CARMEL VALLEY,RD,1,0,CARMEL VALLEY RD,2017
113,CONNER,WAY,0,0,CONNER WAY,2017
114,CLAIREMONT,DR,2,0,CLAIREMONT DR,2017
315,FRIARS,RD,0,0,FRIARS RD,2017
627,04TH,AVE,0,0,04TH AVE,2017
824,MONTEZUMA,RD,0,0,MONTEZUMA RD,2017
235,SAN PASQUAL VALLEY,RD,2,0,SAN PASQUAL VALLEY RD,2017
115,EDMONTON,AVE,0,0,EDMONTON AVE,2017
437,CRABTREE,ST,0,0,CRABTREE ST,2017
522,FRONT,ST,0,0,FRONT ST,2017
611,CAM DEL RIO,nan,1,0,CAM DEL RIO ,2017
124,EL PASEO GRANDE,nan,0,0,EL PASEO GRANDE ,2017
723,VIA TONGA,nan,0,0,VIA TONGA ,2017
621,KELLY,ST,0,0,KELLY ST,2017
242,CAM RUIZ,nan,1,0,CAM RUIZ ,2017
113,MORAGA,AVE,1,0,MORAGA AVE,2017
723,IRIS,AVE,0,0,IRIS AVE,2017
627,ROBINSON,AVE,0,0,ROBINSON AVE,2017
723,ROSA LINDA,ST,0,0,ROSA LINDA ST,2017
313,CLAIREMONT MESA,BLVD,0,0,CLAIREMONT MESA BLVD,2017
813,GRANADA,AVE,1,0,GRANADA AVE,2017
614,NEWPORT,AVE,0,0,NEWPORT AVE,2017
821,COLLEGE,AVE,1,0,COLLEGE AVE,2017
514,24TH,ST,0,0,24TH ST,2017
321,ALVARADO CANYON,RD,0,0,ALVARADO CANYON RD,2017
111,STALMER,ST,0,0,STALMER ST,2017
313,CLAIREMONT MESA,BLVD,0,0,CLAIREMONT MESA BLVD,2017
524,F,ST,0,0,F ST,2017
628,ALBERTA,PL,0,0,ALBERTA PL,2017
123,WEST MISSION BAY,DR,0,0,WEST MISSION BAY DR,2017
621,BURROUGHS,ST,0,0,BURROUGHS ST,2017
811,ADAMS,AVE,0,0,ADAMS AVE,2017
122,GARNET,AVE,2,0,GARNET AVE,2017
446,47TH,ST,2,0,47TH ST,2017
827,WIGHTMAN,ST,0,0,WIGHTMAN ST,2017
621,GENESEE,AVE,0,0,GENESEE AVE,2017
826,ORANGE,AVE,0,0,ORANGE AVE,2017
517,25TH,ST,1,0,25TH ST,2017
821,70TH,ST,0,0,70TH ST,2017
712,DEAVER,LN,0,0,DEAVER LN,2017
832,EL CAJON,BLVD,0,0,EL CAJON BLVD,2017
438,PARKSIDE,AVE,1,0,PARKSIDE AVE,2017
124,LA JOLLA,BLVD,1,0,LA JOLLA BLVD,2017
436,JAMACHA,RD,1,0,JAMACHA RD,2017
116,BALBOA,AVE,1,0,BALBOA AVE,2017
233,BLACK MTN,RD,1,0,BLACK MTN RD,2017
116,MORENA,BLVD,1,0,MORENA BLVD,2017
813,NILE,ST,1,0,NILE ST,2017
934,EL CAMINO REAL,nan,2,0,EL CAMINO REAL ,2017
813,NILE,ST,0,0,NILE ST,2017
611,SPORTS ARENA,BLVD,0,0,SPORTS ARENA BLVD,2017
611,WOMBLE,RD,1,0,WOMBLE RD,2017
627,VERMONT,ST,0,0,VERMONT ST,2017
517,25TH,ST,0,0,25TH ST,2017
512,30TH,ST,1,0,30TH ST,2017
124,LA JOLLA VILLAGE,DR,5,0,LA JOLLA VILLAGE DR,2017
614,EBERS,ST,0,0,EBERS ST,2017
123,SEA WORLD,DR,0,0,SEA WORLD DR,2017
613,GUIZOT,ST,0,0,GUIZOT ST,2017
311,MURPHY CANYON,RD,0,0,MURPHY CANYON RD,2017
813,BOUNDARY,ST,0,0,BOUNDARY ST,2017
834,UNIVERSITY,AVE,1,0,UNIVERSITY AVE,2017
524,BROADWAY,nan,2,0,BROADWAY ,2017
124,HOLIDAY,CT,0,0,HOLIDAY CT,2017
813,EL CAJON,BLVD,1,0,EL CAJON BLVD,2017
712,WILLOW,RD,0,0,WILLOW RD,2017
243,POMERADO,RD,1,0,POMERADO RD,2017
934,CARMEL MTN,RD,1,0,CARMEL MTN RD,2017
813,OHIO,ST,0,0,OHIO ST,2017
311,MOBLEY,ST,0,0,MOBLEY ST,2017
124,MIDWAY,ST,0,0,MIDWAY ST,2017
527,PACIFIC,nan,0,0,PACIFIC ,2017
723,PICADOR,BLVD,0,0,PICADOR BLVD,2017
313,COMPLEX,DR,2,0,COMPLEX DR,2017
936,CARMEL VALLEY,RD,1,0,CARMEL VALLEY RD,2017
518,GRAPE,ST,0,0,GRAPE ST,2017
437,BRIARWOOD,RD,2,0,BRIARWOOD RD,2017
813,MONROE,AVE,1,0,MONROE AVE,2017
527,PACIFIC,nan,1,0,PACIFIC ,2017
321,RANCHO MISSION,RD,2,0,RANCHO MISSION RD,2017
313,CLAIREMONT,nan,0,0,CLAIREMONT ,2017
934,PACIFIC HIGHLANDS,PARKWAY,1,0,PACIFIC HIGHLANDS PARKWAY,2017
122,GARNET,AVE,0,0,GARNET AVE,2017
613,WEST POINT LOMA,BLVD,0,0,WEST POINT LOMA BLVD,2017
837,CACTUS RIDGE,ST,0,0,CACTUS RIDGE ST,2017
512,COMMERCIAL,ST,0,0,COMMERCIAL ST,2017
321,REFLECTION,DR,0,0,REFLECTION DR,2017
839,36TH,ST,1,0,36TH ST,2017
521,IMPERIAL,AVE,1,0,IMPERIAL AVE,2017
613,WEST POINT LOMA,BLVD,1,0,WEST POINT LOMA BLVD,2017
813,REDWOOD,ST,1,0,REDWOOD ST,2017
234,BERNARDO CENTER,DR,0,0,BERNARDO CENTER DR,2017
934,VILLAGE,WAY,1,0,VILLAGE WAY,2017
713,BRITANNIA,BLVD,1,0,BRITANNIA BLVD,2017
512,OCEAN VIEW,BLVD,2,0,OCEAN VIEW BLVD,2017
451,54TH,ST,1,0,54TH ST,2017
451,EUCLID,AVE,0,0,EUCLID AVE,2017
451,COLLEGE GROVE,DR,1,0,COLLEGE GROVE DR,2017
621,GENESEE,AVE,0,0,GENESEE AVE,2017
931,CARROLL CANYON,RD,1,0,CARROLL CANYON RD,2017
931,MIRAMAR,RD,2,0,MIRAMAR RD,2017
627,10TH,AVE,0,0,10TH AVE,2017
241,MIRAMAR,WAY,1,0,MIRAMAR WAY,2017
126,SCIENCE CENTER,DR,1,0,SCIENCE CENTER DR,2017
111,CLAIREMONT MESA,BLVD,1,0,CLAIREMONT MESA BLVD,2017
521,16TH,ST,0,0,16TH ST,2017
611,MIDWAY,DR,1,0,MIDWAY DR,2017
122,BAYARD,ST,0,0,BAYARD ST,2017
323,DEL CERRO,BLVD,0,0,DEL CERRO BLVD,2017
623,HOTEL,CIR,0,0,HOTEL CIR,2017
523,05TH,AVE,0,0,05TH AVE,2017
312,SANTO,RD,1,0,SANTO RD,2017
531,06TH,AVE,1,0,06TH AVE,2017
521,E,ST,1,0,E ST,2017
315,FRIARS,RD,1,0,FRIARS RD,2017
521,17TH,ST,0,0,17TH ST,2017
831,ORANGE,AVE,1,0,ORANGE AVE,2017
233,TWIN TRAILS,DR,3,0,TWIN TRAILS DR,2017
234,SAUCILLO,nan,1,0,SAUCILLO ,2017
821,EL CAJON,BLVD,0,0,EL CAJON BLVD,2017
122,INGRAHAM,ST,2,0,INGRAHAM ST,2017
451,EUCLID,AVE,0,0,EUCLID AVE,2017
324,LAKE MURRAY,BLVD,0,0,LAKE MURRAY BLVD,2017
511,26TH,ST,0,0,26TH ST,2017
627,BROOKES,AVE,1,0,BROOKES AVE,2017
122,LAW,ST,1,0,LAW ST,2017
246,SCRIPPS POWAY,PARKWAY,1,0,SCRIPPS POWAY PARKWAY,2017
836,46TH,ST,0,0,46TH ST,2017
242,WESTMORE,RD,4,0,WESTMORE RD,2017
242,MIRA MESA,BLVD,4,0,MIRA MESA BLVD,2017
234,BERNARDO CENTER,DR,1,0,BERNARDO CENTER DR,2017
313,COPLEY,DR,1,0,COPLEY DR,2017
242,MIRA MESA,BLVD,1,0,MIRA MESA BLVD,2017
622,MORENA,BLVD,1,0,MORENA BLVD,2017
622,GOSHEN,ST,0,0,GOSHEN ST,2017
723,PICCARD,AVE,1,0,PICCARD AVE,2017
115,LA JOLLA VILLAGE,DR,1,0,LA JOLLA VILLAGE DR,2017
122,EMERALD,ST,0,0,EMERALD ST,2017
111,GENESEE,AVE,0,0,GENESEE AVE,2017
234,LUNADA,PL,0,0,LUNADA PL,2017
326,COLLEGE,AVE,1,0,COLLEGE AVE,2017
432,IMPERIAL,AVE,1,0,IMPERIAL AVE,2017
242,WESTVIEW,PARKWAY,0,0,WESTVIEW PARKWAY,2017
242,WESTVIEW,PARKWAY,0,0,WESTVIEW PARKWAY,2017
512,NATIONAL,AVE,0,0,NATIONAL AVE,2017
123,WEST MISSION BAY,DR,1,0,WEST MISSION BAY DR,2017
123,WEST MISSION BAY,DR,0,0,WEST MISSION BAY DR,2017
521,16TH,ST,0,0,16TH ST,2017
315,CAM DEL RIO,nan,0,0,CAM DEL RIO ,2017
313,VIEWRIDGE,AVE,1,0,VIEWRIDGE AVE,2017
115,JUDICIAL,DR,0,0,JUDICIAL DR,2017
114,DUBOIS,DR,0,0,DUBOIS DR,2017
813,EL CAJON,BLVD,0,0,EL CAJON BLVD,2017
836,REDWOOD,ST,0,0,REDWOOD ST,2017
824,MONROE,AVE,0,0,MONROE AVE,2017
723,PALM,AVE,5,0,PALM AVE,2017
121,MISSION,BLVD,0,0,MISSION BLVD,2017
524,09TH,AVE,0,0,09TH AVE,2017
835,PEPPER,DR,0,0,PEPPER DR,2017
624,NORMAL,ST,0,0,NORMAL ST,2017
313,KEARNY MESA,RD,0,0,KEARNY MESA RD,2017
122,INGRAHAM,ST,0,0,INGRAHAM ST,2017
611,CHANNEL,WAY,1,0,CHANNEL WAY,2017
242,CAM RUIZ,nan,0,0,CAM RUIZ ,2017
524,B,ST,1,0,B ST,2017
515,25TH,ST,2,0,25TH ST,2017
524,10TH,AVE,1,0,10TH AVE,2017
614,SUNSET CLIFFS,BLVD,0,0,SUNSET CLIFFS BLVD,2017
611,SPORTS ARENA,BLVD,0,0,SPORTS ARENA BLVD,2017
623,FASHION VALLEY,RD,1,0,FASHION VALLEY RD,2017
122,OLIVER,AVE,1,0,OLIVER AVE,2017
115,REGENTS,RD,0,0,REGENTS RD,2017
122,BAYARD,ST,2,0,BAYARD ST,2017
517,33RD,ST,0,0,33RD ST,2017
529,LAUREL,ST,1,0,LAUREL ST,2017
713,NIELS BOHR,CT,0,0,NIELS BOHR CT,2017
521,01ST,AVE,2,0,01ST AVE,2017
311,MURRAY RIDGE,RD,0,0,MURRAY RIDGE RD,2017
451,EUCLID,AVE,1,0,EUCLID AVE,2017
627,WASHINGTON,ST,1,0,WASHINGTON ST,2017
811,ADAMS,AVE,0,0,ADAMS AVE,2017
115,LA JOLLA VILLAGE,DR,1,0,LA JOLLA VILLAGE DR,2017
625,MOORE,ST,1,0,MOORE ST,2017
122,GRAND,AVE,1,0,GRAND AVE,2017
823,COLLEGE,AVE,0,0,COLLEGE AVE,2017
823,COLLEGE,AVE,0,0,COLLEGE AVE,2017
124,GILMAN,DR,0,0,GILMAN DR,2017
627,ROBINSON,AVE,0,0,ROBINSON AVE,2017
521,16TH,ST,0,0,16TH ST,2017
121,MISSION,BLVD,0,0,MISSION BLVD,2017
623,FRIARS,RD,0,0,FRIARS RD,2017
512,25TH,ST,0,0,25TH ST,2017
813,NORTH PARK,WAY,0,0,NORTH PARK WAY,2017
232,TED WILLIAMS,PARKWAY,0,0,TED WILLIAMS PARKWAY,2017
523,05TH,AVE,0,0,05TH AVE,2017
431,FEDERAL,BLVD,2,0,FEDERAL BLVD,2017
312,AERO,DR,1,0,AERO DR,2017
723,DEL SOL,BLVD,1,0,DEL SOL BLVD,2017
833,FAIRMOUNT,AVE,0,0,FAIRMOUNT AVE,2017
441,43RD,ST,1,0,43RD ST,2017
437,SKYLINE,DR,1,0,SKYLINE DR,2017
826,EL CAJON,BLVD,3,0,EL CAJON BLVD,2017
124,SILVERADO,ST,0,0,SILVERADO ST,2017
831,EL CAJON,BLVD,2,0,EL CAJON BLVD,2017
517,BROADWAY,nan,1,0,BROADWAY ,2017
826,TROJAN,AVE,1,0,TROJAN AVE,2017
934,EL CAMINO REAL,nan,2,0,EL CAMINO REAL ,2017
515,ISLAND,AVE,0,0,ISLAND AVE,2017
116,KNOXVILLE,ST,1,0,KNOXVILLE ST,2017
524,BROADWAY,nan,1,0,BROADWAY ,2017
828,AUBURN,DR,0,0,AUBURN DR,2017
437,PARADISE VALLEY,RD,0,0,PARADISE VALLEY RD,2017
124,WEST MUIRLANDS,DR,0,0,WEST MUIRLANDS DR,2017
321,FRIARS,RD,2,0,FRIARS RD,2017
122,BAYARD,ST,0,0,BAYARD ST,2017
311,MURRAY RIDGE,RD,0,0,MURRAY RIDGE RD,2017
622,LINDA VISTA,RD,0,0,LINDA VISTA RD,2017
827,UNIVERSITY,AVE,0,0,UNIVERSITY AVE,2017
528,HAWTHORN,ST,1,0,HAWTHORN ST,2017
531,06TH,AVE,0,0,06TH AVE,2017
447,HOME,AVE,1,0,HOME AVE,2017
614,NIMITZ,BLVD,0,0,NIMITZ BLVD,2017
122,CROWN POINT,DR,0,0,CROWN POINT DR,2017
122,CROWN POINT,DR,0,0,CROWN POINT DR,2017
324,BARKER,WAY,0,0,BARKER WAY,2017
616,SHELTER ISLAND,DR,0,0,SHELTER ISLAND DR,2017
827,AUBURN,DR,0,0,AUBURN DR,2017
524,E,ST,0,0,E ST,2017
112,MT ARIANE,DR,1,0,MT ARIANE DR,2017
313,COMPLEX,ST,0,0,COMPLEX ST,2017
821,EL CAJON,BLVD,1,0,EL CAJON BLVD,2017
611,ROSECRANS,ST,1,0,ROSECRANS ST,2017
446,IMPERIAL,AVE,4,0,IMPERIAL AVE,2017
122,GARNET,AVE,0,0,GARNET AVE,2017
438,REO,DR,1,0,REO DR,2017
111,MARLESTA,DR,0,0,MARLESTA DR,2017
111,GENESEE,AVE,1,0,GENESEE AVE,2017
624,PARK,BLVD,0,0,PARK BLVD,2017
624,PARK,BLVD,0,0,PARK BLVD,2017
624,HOWARD,AVE,0,0,HOWARD AVE,2017
122,INGRAHAM,ST,0,0,INGRAHAM ST,2017
311,ABBOTSHILL,RD,0,0,ABBOTSHILL RD,2017
528,HAWTHORN,ST,0,0,HAWTHORN ST,2017
725,CAMBERLEY,CT,0,0,CAMBERLEY CT,2017
122,EVERTS,ST,1,0,EVERTS ST,2017
626,KEATING,ST,0,0,KEATING ST,2017
614,SANTA MONICA,AVE,0,0,SANTA MONICA AVE,2017
521,IMPERIAL,AVE,1,0,IMPERIAL AVE,2017
531,06TH,AVE,1,0,06TH AVE,2017
451,COLLURA,ST,0,0,COLLURA ST,2017
813,EL CAJON,BLVD,0,0,EL CAJON BLVD,2017
232,RANCHO CARMEL,DR,0,0,RANCHO CARMEL DR,2017
933,NOB,AVE,1,0,NOB AVE,2017
521,16TH,ST,0,0,16TH ST,2017
115,GOVERNOR,DR,0,0,GOVERNOR DR,2017
326,MADISON,AVE,0,0,MADISON AVE,2017
627,UNIVERSITY,AVE,0,0,UNIVERSITY AVE,2017
124,GIRARD,AVE,0,0,GIRARD AVE,2017
821,EL CAJON,BLVD,1,0,EL CAJON BLVD,2017
511,LOGAN,AVE,1,0,LOGAN AVE,2017
627,03RD,AVE,0,0,03RD AVE,2017
111,CLAIREMONT MESA,BLVD,1,0,CLAIREMONT MESA BLVD,2017
124,TORREY PINES,RD,0,0,TORREY PINES RD,2017
713,MICHAEL FARADAY,DR,1,0,MICHAEL FARADAY DR,2017
832,ORANGE,AVE,0,0,ORANGE AVE,2017
124,VILLA LA JOLLA,DR,0,0,VILLA LA JOLLA DR,2017
834,UNIVERSITY,AVE,0,0,UNIVERSITY AVE,2017
441,LOGAN,AVE,0,0,LOGAN AVE,2017
233,BAVARIAN,WAY,0,0,BAVARIAN WAY,2017
242,HILLERY,DR,0,0,HILLERY DR,2017
242,PHANTOM,LN,0,0,PHANTOM LN,2017
232,OF SCIENCE,nan,1,0,OF SCIENCE ,2017
312,CLAIREMONT MESA,BLVD,1,0,CLAIREMONT MESA BLVD,2017
511,HARBOR,DR,1,0,HARBOR DR,2017
111,GENESEE,AVE,1,0,GENESEE AVE,2017
627,WASHINGTON,ST,1,0,WASHINGTON ST,2017
712,WILLOW,RD,0,0,WILLOW RD,2017
627,UNKNOWN,nan,0,0,UNKNOWN ,2017
521,G,ST,2,0,G ST,2017
122,GARNET,AVE,2,0,GARNET AVE,2017
813,ILLINOIS,ST,0,0,ILLINOIS ST,2017
531,BOB WILSON,DR,0,0,BOB WILSON DR,2017
827,CHOLLAS,PARKWAY,0,0,CHOLLAS PARKWAY,2017
321,MISSION GORGE,RD,2,0,MISSION GORGE RD,2017
122,LORING,ST,3,0,LORING ST,2017
315,FENTON,PARKWAY,0,0,FENTON PARKWAY,2017
527,LAUREL,ST,1,0,LAUREL ST,2017
232,CARMEL RIDGE,RD,0,0,CARMEL RIDGE RD,2017
611,MOORE,ST,1,0,MOORE ST,2017
515,25TH,ST,0,0,25TH ST,2017
512,25TH,ST,0,0,25TH ST,2017
111,BALBOA,AVE,0,0,BALBOA AVE,2017
111,GENESEE,AVE,1,0,GENESEE AVE,2017
523,MARKET,ST,0,0,MARKET ST,2017
512,OCEAN VIEW,BLVD,0,0,OCEAN VIEW BLVD,2017
243,BLACK MTN,RD,1,0,BLACK MTN RD,2017
524,06TH,AVE,1,0,06TH AVE,2017
528,KETTNER,BLVD,1,0,KETTNER BLVD,2017
122,GARNET,AVE,0,0,GARNET AVE,2017
511,SAMPSON,ST,1,0,SAMPSON ST,2017
436,RITCHEY,ST,5,0,RITCHEY ST,2017
114,GENESEE,AVE,1,0,GENESEE AVE,2017
325,NAVAJO,RD,2,0,NAVAJO RD,2017
243,CAM RUIZ,nan,1,0,CAM RUIZ ,2017
111,CHANDLER,DR,1,0,CHANDLER DR,2017
445,HILLTOP,DR,1,0,HILLTOP DR,2017
438,CAMERON,CT,0,0,CAMERON CT,2017
512,30TH,ST,3,0,30TH ST,2017
433,FEDERAL,BLVD,1,0,FEDERAL BLVD,2017
242,BLACK MTN,RD,0,0,BLACK MTN RD,2017
124,SOLEDAD MTN,RD,1,0,SOLEDAD MTN RD,2017
234,BERNARDO CENTER,DR,2,0,BERNARDO CENTER DR,2017
821,MOHAWK,ST,0,0,MOHAWK ST,2017
