report_id,date_time,police_beat,street_name,street_type,injured,killed,hit_run_lvl,full_name
171740,2017-01-07 03:05:00,437,CRABTREE,ST,0,0,MISDEMEANOR,CRABTREE ST
172683,2017-01-07 07:15:00,522,FRONT,ST,0,0,MISDEMEANOR,FRONT ST
170252,2017-01-07 07:48:00,611,CAM DEL RIO,,1,0,nan,CAM DEL RIO 
170273,2017-01-07 08:38:00,124,EL PASEO GRANDE,,0,0,MISDEMEANOR,EL PASEO GRANDE 
170448,2017-01-07 11:20:00,723,VIA TONGA,,0,0,MISDEMEANOR,VIA TONGA 
170352,2017-01-07 12:30:00,621,KELLY,ST,0,0,MISDEMEANOR,KELLY ST
170262,2017-01-07 13:02:00,242,CAM RUIZ,,1,0,nan,CAM RUIZ 
170239,2017-01-07 14:06:00,113,MORAGA,AVE,1,0,nan,MORAGA AVE
170785,2017-01-07 14:30:00,723,IRIS,AVE,0,0,MISDEMEANOR,IRIS AVE
170267,2017-01-07 16:30:00,627,ROBINSON,AVE,0,0,nan,ROBINSON AVE
170207,2017-01-07 16:45:00,723,ROSA LINDA,ST,0,0,MISDEMEANOR,ROSA LINDA ST
170223,2017-01-07 17:10:00,313,CLAIREMONT MESA,BLVD,0,0,MISDEMEANOR,CLAIREMONT MESA BLVD
170249,2017-01-07 17:47:00,813,GRANADA,AVE,1,0,nan,GRANADA AVE
170227,2017-01-07 18:00:00,614,NEWPORT,AVE,0,0,MISDEMEANOR,NEWPORT AVE
170234,2017-01-07 19:06:00,821,COLLEGE,AVE,1,0,MISDEMEANOR,COLLEGE AVE
170204,2017-01-07 19:20:00,514,24TH,ST,0,0,MISDEMEANOR,24TH ST
170582,2017-01-07 20:07:00,321,ALVARADO CANYON,RD,0,0,MISDEMEANOR,ALVARADO CANYON RD
170202,2017-01-07 20:18:00,111,STALMER,ST,0,0,MISDEMEANOR,STALMER ST
170222,2017-01-07 21:00:00,313,CLAIREMONT MESA,BLVD,0,0,MISDEMEANOR,CLAIREMONT MESA BLVD
170281,2017-01-07 21:30:00,524,F,ST,0,0,MISDEMEANOR,F ST
170345,2017-01-07 22:00:00,628,ALBERTA,PL,0,0,MISDEMEANOR,ALBERTA PL
170544,2017-01-07 22:12:00,123,WEST MISSION BAY,DR,0,0,nan,WEST MISSION BAY DR
170310,2017-01-08 00:00:00,621,BURROUGHS,ST,0,0,MISDEMEANOR,BURROUGHS ST
170211,2017-01-08 00:01:00,811,ADAMS,AVE,0,0,MISDEMEANOR,ADAMS AVE
170237,2017-01-08 00:17:00,122,GARNET,AVE,2,0,nan,GARNET AVE
